component_id,voxel_count,volume_mm3,centroid_z,centroid_y,centroid_x,bbox_min_z,bbox_min_y,bbox_min_x,bbox_max_z,bbox_max_y,bbox_max_x
2,4803,2041.8160886359726,379.3649802206954,129.0857797210077,194.87549448261504,152,94,102,444,204,299
11,7,2.975788594722425,314.0,165.28571428571428,269.0,311,165,269,317,166,269
3,6,2.5506759383335074,178.5,143.83333333333334,110.33333333333333,176,143,109,181,145,112
13,4,1.7004506255556717,317.5,165.5,130.0,316,165,130,319,166,130
7,4,1.7004506255556717,256.75,112.5,301.75,256,111,301,258,114,303
14,3,1.2753379691667537,444.0,95.0,197.0,444,95,196,444,95,198
1,2,0.8502253127778359,151.5,183.5,128.0,151,183,128,152,184,128
12,2,0.8502253127778359,312.0,169.5,123.5,312,169,123,312,170,124
10,2,0.8502253127778359,290.5,102.0,275.0,290,102,275,291,102,275
15,2,0.8502253127778359,444.0,99.0,191.5,444,99,191,444,99,192
9,2,0.8502253127778359,282.0,92.5,139.0,282,92,139,282,93,139
6,1,0.42511265638891793,219.0,119.0,115.0,219,119,115,219,119,115
5,1,0.42511265638891793,193.0,175.0,138.0,193,175,138,193,175,138
4,1,0.42511265638891793,183.0,149.0,106.0,183,149,106,183,149,106
8,1,0.42511265638891793,256.0,162.0,269.0,256,162,269,256,162,269
