component_id,voxel_count,volume_mm3,centroid_z,centroid_y,centroid_x,bbox_min_z,bbox_min_y,bbox_min_x,bbox_max_z,bbox_max_y,bbox_max_x
1,4734,2012.4833153451375,382.297845373891,128.5621039290241,195.91994085340093,179,94,113,444,204,299
9,7,2.975788594722425,314.0,165.28571428571428,269.0,311,165,269,317,166,269
5,4,1.7004506255556717,256.75,112.5,301.75,256,111,301,258,114,303
11,4,1.7004506255556717,317.5,165.5,130.0,316,165,130,319,166,130
12,3,1.2753379691667537,444.0,95.0,197.0,444,95,196,444,95,198
10,2,0.8502253127778359,312.0,169.5,123.5,312,169,123,312,170,124
8,2,0.8502253127778359,290.5,102.0,275.0,290,102,275,291,102,275
13,2,0.8502253127778359,444.0,99.0,191.5,444,99,191,444,99,192
7,2,0.8502253127778359,282.0,92.5,139.0,282,92,139,282,93,139
4,1,0.42511265638891793,219.0,119.0,115.0,219,119,115,219,119,115
3,1,0.42511265638891793,193.0,175.0,138.0,193,175,138,193,175,138
2,1,0.42511265638891793,183.0,149.0,106.0,183,149,106,183,149,106
6,1,0.42511265638891793,256.0,162.0,269.0,256,162,269,256,162,269
