node_id,position,degree,num_branches,generation,z,y,x
71,[189 163 132],3,3,6,189,163,132
74,[190 150 120],3,3,5,190,150,120
114,[196 162 134],3,3,5,196,162,134
134,[199 147 146],3,3,4,199,147,146
171,[206 154 136],3,3,4,206,154,136
253,[218 189 273],3,3,3,218,189,273
274,[220 177 290],3,3,4,220,177,290
275,[220 178 281],3,3,3,220,178,281
277,[221 111 134],3,3,4,221,111,134
296,[222 152 145],3,3,3,222,152,145
331,[227 128 139],3,3,3,227,128,139
354,[229 131 139],3,3,2,229,131,139
361,[229 153 148],3,3,2,229,153,148
391,[231 163 143],3,3,3,231,163,143
450,[236 177 270],3,3,2,236,177,270
461,[239 149 154],3,3,1,239,149,154
511,[251 175 262],3,3,1,251,175,262
533,[252 190 264],3,3,2,252,190,264
592,[263 164 254],3,3,0,263,164,254
619,[266 161 263],3,3,1,266,161,263
653,[269 161 265],3,3,2,269,161,265
669,[271 144 279],3,3,4,271,144,279
683,[272 148 278],3,3,3,272,148,278
686,[272 151 167],3,3,0,272,151,167
763,[283 131 280],3,3,5,283,131,280
805,[287 147 146],3,3,1,287,147,146
827,[289 163 269],3,3,3,289,163,269
837,[290 116 276],3,3,6,290,116,276
867,[293 116 137],3,3,4,293,116,137
907,[296 132 138],3,3,3,296,132,138
913,[296 138 140],3,3,2,296,138,140
934,[297 153 136],3,3,2,297,153,136
950,[298 171 274],3,3,4,298,171,274
1012,[305 139 139],3,3,3,305,139,139
1033,[308 153 197],3,3,-1,308,153,197
1034,[308 161 130],3,3,3,308,161,130
