generation,n_branches,diameter_mean_mm,diameter_std_mm,diameter_median_mm,diameter_min_mm,diameter_max_mm,length_mean_mm,length_std_mm,length_median_mm,total_volume_mm3,total_surface_area_mm2
0,3,11.041611050022558,1.405588777191159,11.794851625754719,9.419940045571504,11.910041478741444,2.2603396187086218,2.125794907119172,1.3056062169268214,556.7590746808786,216.51234205992222
1,4,8.155513341477313,2.6381999908711253,8.021955943793463,5.4606146416348444,11.117526836687482,9.932326283966775,9.07119772135831,6.716688951593167,1509.1321911572422,834.962473778193
2,5,6.310795641046785,2.7006852269155264,5.966061813311579,2.267730847598578,8.889333181029878,6.627433126638738,4.098773696863807,8.201303174650343,942.3900261830994,571.0801786499962
3,4,5.9963142681257455,1.8527129410968484,5.764047089508607,4.078672564505498,8.37849032898027,7.010885436727323,6.354523819553477,5.602232913784556,665.3948251085591,477.04930388973446
4,6,5.330700676135979,1.9306810223458761,5.31400569749286,2.531779445705099,7.600187346361028,5.828920674905699,3.3868624935044003,4.631715154278311,693.1938343256974,518.3500549714311
5,4,6.690612094446873,1.5694480964582078,7.049174635266167,4.675781965255737,7.9883171419994214,2.785089352382451,2.2644321457496983,2.5740871392424056,429.25181344031085,242.47740902527045
6,8,4.440597321477371,1.7279821792305052,4.705182993292906,1.9257633507350629,6.8727939084667,7.455220531417347,4.170226148319927,5.947217387211069,960.8324649005914,804.3983492926577
7,5,4.243717138606212,2.538417298796672,3.521802261067652,1.6453125476837158,7.953349272411818,6.639245526865051,5.288982522160311,5.222424867707286,479.45867749150034,395.47803921343973
8,6,6.4896158427848185,4.192129378772626,7.371797087335111,1.399999976158142,10.769339828638198,1.9525895208046755,1.2917506395900895,1.6952547140314662,529.8616431107663,246.43120625589296
9,6,5.850477197304335,3.7027628698113695,5.997187738291296,1.5057293176651,10.663253064909025,6.123367546328804,8.24087106283688,2.8718191680746967,1105.5354779412992,658.5713435543166
10,2,7.598145693540573,0.27552309458184115,7.598145693540573,7.403321444988251,7.7929699420928955,4.589262971414602,2.8045923820849246,4.589262971414602,407.2279611408634,216.66636943090163
11,2,3.6031111782008205,1.248917735934299,3.6031111782008205,2.719992977977528,4.486229378424113,9.322805631171384,2.393883852644061,9.322805631171384,184.61705835140148,201.66651790807407
